name,event,place,all_american,min,max,mean,std,median,q1,q3,mean_three_recent,mean_three_best,mean_three_worst,percent_diff_recent_best,percent_diff_recent_worst,no_mark_rate,count,grade,year,school,score
RANDOLPH ROSS,400,1,1,0.931439555745408,0.9945267958950968,0.9640924226433336,0.0153365768416771,0.9642897688769824,0.9527037478497252,0.9768174433610342,0.9640924226433336,0.985982364910694,0.9393645323107448,0.0224503618087559,0.0259820851406492,0.0,30,JR,3,N. CAROLINA A&T,1.0
CHAMPION ALLISON,400,2,1,0.8991752577319587,0.984646647098668,0.9473915797205392,0.0188156038422921,0.9486621709810746,0.93845491715085,0.9599383667180276,0.9473915797205394,0.9747429593205184,0.9089220137924818,0.0284593810104723,0.0414472706147187,0.0263157894736842,38,JR,3,FLORIDA,0.9583333333333334
ELIJA GODWIN,400,3,1,0.9136811229834486,0.98,0.9502228852196732,0.0146715665586789,0.9496951219512194,0.9410876132930512,0.9603611539308524,0.9502228852196732,0.9732202633340772,0.921501975079438,0.0239127193665129,0.0306892436483913,0.0294117647058823,34,JR,3,GEORGIA,0.9166666666666666
JONATHAN JONES,400,4,1,0.8916377019014518,0.9815440018005852,0.9503632137083186,0.0175462365642863,0.951560158766796,0.9432765036879716,0.961154963379192,0.9503632137083188,0.9736548336682296,0.9094118710558348,0.0242114360534918,0.0440390270715741,0.0476190476190476,42,JR,3,TEXAS,0.875
RYAN WILLIE,400,5,1,0.9274776690769884,0.9691111111111111,0.9535314768982448,0.0094590575901031,0.9538495188101488,0.9488685813751088,0.9605726872246696,0.9535314768982448,0.9656775907883084,0.9366203108895887,0.012657416114342,0.0178939766826325,0.0,25,SO,2,FLORIDA,0.8333333333333334
RICHARD KUYKENDOLL,400,6,1,0.8618577075098813,0.963756906077348,0.9274204109203734,0.0278033294974477,0.9272804592813098,0.9129160961077188,0.9521856303796594,0.9274204109203734,0.961207846594666,0.873481842736767,0.0357798688438014,0.0599017165690941,0.0,27,SO,2,OKLAHOMA,0.7916666666666666
JEVAUGHN POWELL,400,7,1,0.8844047860474549,0.9719188767550704,0.930996314536687,0.0240876974918509,0.931439555745408,0.9179120591883748,0.9498035078851568,0.930996314536687,0.9590939080712558,0.8958021786488332,0.0297314839244021,0.0385309447310559,0.0,19,SO,2,UTEP,0.75
TYLER JOHNSON,400,8,1,0.9157916841663168,0.9701890989988876,0.9443122234218996,0.0140530185167577,0.9443482026851452,0.9334332191780822,0.9542669584245076,0.9443122234218996,0.9654638034093423,0.9188852530412198,0.0221508487804596,0.0272939081357573,0.0,45,SR,4,OHIO STATE,0.7083333333333333
EMMANUEL BAMIDELE,400,8,0,0.9296525261138352,0.964183064337829,0.9529044931375432,0.010024060967744,0.955521472392638,0.9497039495087514,0.957830002196354,0.9529044931375432,0.957830002196354,0.9396574610656376,0.0051556185025591,0.0139990472095091,0.0833333333333333,12,FR,1,TEXAS A&M,0.7083333333333333
DWIGHT ST HILLAIRE,400,10,0,0.9177188552188552,0.9789001122334456,0.9501228810579128,0.0133433069072015,0.9499019821389676,0.9453717754172988,0.9588830255057168,0.9501228810579126,0.9680355160932298,0.9213461714810252,0.0186769091248366,0.0307530702020931,0.0,45,SR,4,KENTUCKY,0.625
ISMAIL TURNER,400,11,0,0.8969559851912794,0.9678206835330668,0.9418689576402454,0.0170552431263041,0.946192232588414,0.9312406576980568,0.9546851753386928,0.9418689576402456,0.955521472392638,0.9189524913034246,0.0143908333638595,0.0246304838648864,0.0,15,JR,3,UCLA,0.5833333333333333
JACORY PATTERSON,400,12,0,0.919460257221168,0.9732202633340772,0.9518308368671008,0.0100899153494441,0.9525993883792048,0.9467060207251364,0.9566744482173176,0.9518308368671008,0.9661054497120072,0.9323927735225932,0.0148853879503651,0.0206324379307479,0.0277777777777777,36,JR,3,FLORIDA,0.5416666666666667
KHALEB MCRAE,400,13,0,0.9014055394791236,0.9595159515951596,0.9344372039149804,0.0172498157307342,0.9382530120481928,0.9223773265651438,0.9503159729788624,0.9344372039149804,0.9540581929555896,0.9040979096687268,0.0207794936361753,0.0330037691661114,0.0,25,SO,2,ALABAMA,0.5
WILLINGTON WRIGHT,400,14,0,0.92043056141832,0.964183064337829,0.9385428306593986,0.0148386912790857,0.9362387290682695,0.9235493434985176,0.949488351839756,0.9385428306593986,0.9595159515951596,0.9210792363433252,0.0220995483720989,0.0187818746894314,0.0,21,JR,3,TEXAS,0.45833333333333337
CAMERON REYNOLDS,400,15,0,0.8999174576970698,0.9676059463057466,0.9347982932544092,0.0207447435955599,0.943939393939394,0.9142557651991614,0.9476314645806172,0.9347982932544092,0.949075081610446,0.90909326129214,0.0151568449838737,0.02788128390619,0.0,13,JR,3,UCLA,0.41666666666666663
BRIAN FAUST,400,16,0,0.9131072026800672,0.9507303248310442,0.9381417409816182,0.0093411992391764,0.9366408934707904,0.933832976445396,0.9463975694444444,0.938141740981618,0.949075081610446,0.9185793786901284,0.0115867350247664,0.0210719446062508,0.0,29,JR,3,KENTUCKY,0.375
BRIAN HERRON,400,17,0,0.8920024544896706,0.963756906077348,0.9370923822038486,0.017389149112226,0.9402759810263044,0.9301500228141312,0.950005547465041,0.9370923822038486,0.9561499671124754,0.900445893793843,0.020132219116595,0.0398865034690049,0.0357142857142857,28,SO,2,TEXAS,0.33333333333333337
